0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:17:50 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 200 321
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:17:51 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:17:52 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:17:52 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:18:48 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 832
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:18:48 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:18:48 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:18:53 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:18:54 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:18:54 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:19:12 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:19:12 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:19:12 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:19:35 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 837
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:19:35 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:19:35 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:19:52 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 835
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:19:52 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:19:52 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:20:25 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 836
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:20:25 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:20:25 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:21:19 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 825
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:21:19 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:21:19 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:21:22 -0300] "GET /Restful-API-TAG/students.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:21:35 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 795
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:21:35 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:21:35 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:21:36 -0300] "GET /Restful-API-TAG/students.jsp HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:22:08 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 855
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:22:08 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:22:08 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:22:11 -0300] "GET /Restful-API-TAG/schools HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:22:21 -0300] "GET /Restful-API-TAG/schools HTTP/1.1" 404 997
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:22:26 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 859
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:22:26 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:22:26 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:22:27 -0300] "GET /Restful-API-TAG/schools.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:29:40 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:29:40 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:29:40 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:29:41 -0300] "GET /Restful-API-TAG/students.jsp HTTP/1.1" 200 901
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:29:43 -0300] "GET /Restful-API-TAG/api/TagService/getStudents HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:30:22 -0300] "GET /Restful-API-TAG/api/TagService/getStudents HTTP/1.1" 405 1013
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:30:26 -0300] "GET /Restful-API-TAG HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:30:26 -0300] "GET /Restful-API-TAG/ HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:30:27 -0300] "GET /Restful-API-TAG/students.jsp HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:30:27 -0300] "GET /Restful-API-TAG/students.jsp HTTP/1.1" 200 925
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:31:08 -0300] "GET /Restful-API-TAG/students.jsp HTTP/1.1" 200 739
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:31:08 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:31:08 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:31:29 -0300] "GET /Restful-API-TAG/students.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:31:30 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:31:30 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:32:05 -0300] "GET /Restful-API-TAG/students.jsp HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:32:05 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:32:05 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:32:21 -0300] "GET /Restful-API-TAG/api/TagService/getStudents HTTP/1.1" 200 8702229
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:32:35 -0300] "GET /Restful-API-TAG/students.jsp HTTP/1.1" 200 748
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:32:35 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:32:35 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:32:43 -0300] "GET /Restful-API-TAG/students.jsp HTTP/1.1" 200 744
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:32:43 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:32:43 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:34:43 -0300] "GET /Restful-API-TAG/students.jsp HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:34:43 -0300] "GET /Restful-API-TAG/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2016:10:34:43 -0300] "GET /Restful-API-TAG/css/bootstrap.min.css HTTP/1.1" 304 -
